"au_id"	"au_name"	"author_advance_amount"
"172-32-1176"	"Johnson White"	2000.0
"213-46-8915"	"Marjorie Green"	12125.0
"238-95-7766"	"Cheryl Carson"	7000.0
"267-41-2394"	"Michael O'Leary"	4400.0
"274-80-9391"	"Dean Straight"	5000.0
"341-22-1782"	"Meander Smith"	0.0
"409-56-7008"	"Abraham Bennet"	3000.0
"427-17-2319"	"Ann Dull"	4000.0
"472-27-2349"	"Burt Gringlesby"	2400.0
"486-29-1786"	"Charlene Locksley"	4000.0
"527-72-3246"	"Morningstar Greene"	0.0
"648-92-1872"	"Reginald Blotchet-Halls"	4000.0
"672-71-3249"	"Akiko Yokomoto"	3200.0
"712-45-1867"	"Innes del Castillo"	0.0
"722-51-5454"	"Michel DeFrance"	11250.0
"724-08-9931"	"Dirk Stringer"	0.0
"724-80-9391"	"Stearns MacFeather"	4750.0
"756-30-7391"	"Livia Karsen"	5250.0
"807-91-6654"	"Sylvia Panteley"	7000.0
"846-92-7186"	"Sheryl Hunter"	4000.0
"893-72-1158"	"Heather McBadden"	0.0
"899-46-2035"	"Anne Ringer"	4887.5
"998-72-3567"	"Albert Ringer"	7137.5
