"au_id"	"sales_qty"	"author_sale_amount"
"172-32-1176"	15.0	29.985
"213-46-8915"	50.0	37.11
"238-95-7766"	30.0	110.16
"267-41-2394"	45.0	20.944
"274-80-9391"	15.0	29.985
"341-22-1782"	0.0	0.0
"409-56-7008"	15.0	17.991
"427-17-2319"	50.0	50.0
"472-27-2349"	20.0	8.994
"486-29-1786"	25.0	19.975
"527-72-3246"	0.0	0.0
"648-92-1872"	20.0	33.46
"672-71-3249"	20.0	11.992
"712-45-1867"	10.0	23.988
"722-51-5454"	40.0	21.528
"724-08-9931"	0.0	0.0
"724-80-9391"	45.0	28.72
"756-30-7391"	20.0	32.385
"807-91-6654"	40.0	83.8
"846-92-7186"	50.0	50.0
"893-72-1158"	0.0	0.0
"899-46-2035"	148.0	78.132
"998-72-3567"	133.0	88.456
